40052:
 num     #instances         #bytes  class name (module)
 350:             1            144  [Ljava.lang.invoke.VarHandle$AccessMode; (java.base@17.0.6)
 351:             1            144  [Ljava.util.concurrent.ForkJoinPool$WorkQueue; (java.base@17.0.6)
 352:             6            144  java.lang.Thread$State (java.base@17.0.6)
 353:             3            144  java.lang.ThreadGroup (java.base@17.0.6)
 354:             6            144  java.security.BasicPermissionCollection (java.base@17.0.6)
 355:             6            144  java.util.regex.Pattern$GroupHead (java.base@17.0.6)
 356:             6            144  java.util.regex.Pattern$GroupTail (java.base@17.0.6)
 357:             9            144  jdk.internal.logger.LazyLoggers$JdkLazyLogger (java.base@17.0.6)
 358:             6            144  jdk.internal.perf.PerfCounter (java.base@17.0.6)
 359:             6            144  jdk.net.ExtendedSocketOptions$ExtSocketOption (jdk.net@17.0.6)
 360:             3            144  sun.nio.cs.StreamEncoder (java.base@17.0.6)
 361:             1            144  sun.security.pkcs11.SunPKCS11 (jdk.crypto.cryptoki@17.0.6)
 362:             3            128  [Ljava.lang.Thread; (java.base@17.0.6)
 363:             4            128  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$ArrayMapping (java.management@17.0.6)
 364:             2            128  com.sun.security.sasl.gsskerb.JdkSASL$ProviderService (jdk.security.jgss@17.0.6)
 365:             4            128  java.lang.WeakPairMap$Pair$Weak$1 (java.base@17.0.6)
 366:             4            128  java.lang.invoke.MethodHandles$Lookup (java.base@17.0.6)
 367:             2            128  java.security.SecureRandom (java.base@17.0.6)
 368:             4            128  java.util.Collections$UnmodifiableMap (java.base@17.0.6)
 369:             8            128  java.util.WeakHashMap$KeySet (java.base@17.0.6)
